,Control 1,Control 2,Control 3,Control 4,Control 5,CML CP 1,CML CP 2,CML CP 3,CML CP 4,CML CP 5,CML BC 1,CML BC 2,CML BC 3,CML BC 4,CML BC 5
ENSG00000196218,16.43886714,1.942072104,12.45266564,6.214331484,2.613766816,6.479963442,0.344668152,0,2.852375639,0,24.87662037,1.556691203,0.747847457,0.34498248,1.073309733
ENSG00000196220,2.054858393,0.791214561,1.427694149,4.076066888,1.537509892,6.559962991,4.394518941,3.575223588,10.24262161,0.964869057,0.177690145,0.059872739,3.365313558,15.00673788,4.114353977
ENSG00000196227,15.81347546,23.30486525,19.82908541,22.31813673,24.75390926,22.71987182,17.14724057,22.88143097,24.11553949,19.13656962,5.863774801,6.047146596,19.35055296,8.624561997,7.334283177
ENSG00000196233,38.50625945,44.02030103,75.27120821,47.04182113,37.0539884,49.03972333,47.90887316,98.55699692,40.32221926,31.51905585,48.50940971,38.07906173,55.52767371,34.84323047,25.7594336
ENSG00000196235,168.7664132,147.3097656,166.5643174,122.0147236,228.166468,118.3193325,99.43676191,206.5287493,239.988514,307.6324175,129.8914963,361.2721045,170.1352966,135.9230971,244.8935041
ENSG00000196236,5.003133478,7.408645435,4.124449765,6.281152253,5.535035611,7.679956672,4.739187093,8.103840134,11.27984912,9.327067547,11.7275496,10.47772925,10.7503072,9.142035717,7.692053088
ENSG00000196247,44.31346795,40.92737139,42.83082448,27.19605284,38.13024532,15.19991425,9.564541224,39.08911123,11.92811631,22.67442283,9.772958001,22.63189518,27.85731779,28.80603707,13.41637167
ENSG00000196262,396.3196448,408.1228563,424.8976421,517.2595701,344.0947138,751.8357584,1081.310161,515.4280673,1819.556351,2060.960305,1704.226185,1543.159964,827.1192879,1385.104657,1047.729185
ENSG00000196263,16.97491716,20.49964999,14.99078857,24.79050517,4.151276708,15.59991199,15.59623389,23.47730156,10.37227505,5.62840283,4.797633928,17.24334871,21.2201716,10.00449192,25.93831855
ENSG00000196267,9.827583618,14.60150508,6.186674647,10.15675683,8.763806385,7.19995938,6.117859702,4.766964785,7.649552849,9.005444528,6.752225528,8.621674354,10.56334534,7.762105798,6.618743355
ENSG00000196268,14.92005877,18.1979349,15.86326833,17.907966,17.68136376,37.51978833,24.04060362,45.76286193,142.6187819,211.4671349,17.5913244,10.77709294,28.23124152,34.84323047,24.149469
ENSG00000196275,8.934166926,9.13493175,14.03899247,9.689011454,12.30007914,19.27989123,15.94090204,16.56520263,40.32221926,29.91094075,10.30602844,4.969437301,10.18942161,7.417123318,8.586477866
ENSG00000196284,6.700625194,1.942072104,2.776071957,6.281152253,1.99876286,5.279970212,9.909209376,3.21770123,9.853661297,19.94062717,24.52124008,7.184728629,11.77859745,42.43284503,6.618743355
ENSG00000196290,12.15046702,11.58050403,10.70770612,12.62912527,9.68631232,7.83995577,10.16771049,4.171094186,6.482671906,1.608115094,59.17081844,6.28663755,8.506764828,16.90414152,8.765362822
ENSG00000196305,39.75704282,57.18323419,63.0564916,51.98655801,43.81903192,52.55970348,70.82930528,34.32214645,22.04108448,35.8609666,60.23695932,135.0130255,85.06764828,73.65375946,46.6889734
ENSG00000196312,5.717866832,6.90514526,10.07317539,7.951671469,9.993814298,12.1599314,10.94321383,18.11446618,17.50321415,34.57447453,8.529126983,5.089182779,9.161131353,15.69670284,15.20522122
ENSG00000196313,62.09246013,74.15838295,67.33957405,64.21475867,58.88662886,44.8797468,47.65037204,72.10034237,50.17588055,69.9530066,39.091832,52.56826447,48.32964193,46.40014355,37.20807075
ENSG00000196323,85.58931915,107.6771089,74.8746265,75.2401855,64.26791349,57.11967775,60.05842552,56.84605506,91.66498075,63.0381117,67.87763557,104.2983106,81.0479682,106.7720775,45.97343357
ENSG00000196329,126.5078037,111.7051103,124.7646054,155.091004,185.577444,3.039982849,3.10201337,0.357522359,2.593068762,0,4.442253637,8.262437923,10.28290254,32.60084435,0
ENSG00000196338,1.340125039,0.863143158,1.269061466,1.870981522,1.383758903,1.679990522,1.034004457,2.502656512,2.722722201,2.89460717,2.132281746,0.658600124,1.682656779,1.724912399,0.715539822
ENSG00000196352,147.8604626,102.2824642,70.35359503,139.3213026,103.9356687,89.59949451,92.37106479,274.5771716,123.8190334,338.6690389,161.1649619,136.9289531,45.3382521,62.6143201,44.00569906
ENSG00000196357,1.965516724,3.021001051,2.220857566,2.672830746,3.075019784,0.879995035,1.723340761,0.953392957,3.759949706,6.110837358,1.421521164,7.54396506,2.243542372,1.897403639,1.6099646
ENSG00000196358,6.611283525,5.538501927,5.948725622,4.209708425,9.532561331,69.67960689,53.33739656,105.7074441,43.43390177,56.2840283,2.665352182,4.909564563,2.617466101,35.53319543,60.64199993
ENSG00000196363,29.21472585,27.69250964,29.74362811,28.93339282,27.36767608,32.47981676,43.16968607,26.21830632,39.67395206,32.16230189,16.16980324,65.20141231,39.44895338,39.50049395,45.25789375
ENSG00000196365,66.02349358,58.76566331,52.42810182,68.55810863,54.73535216,54.95968994,74.87915607,30.9852711,73.90245973,52.10292905,68.41070601,114.057567,77.8696165,81.93333898,106.2576636
ENSG00000196367,53.42631822,68.76373822,64.32555306,63.47973022,58.88662886,20.55988401,35.24231856,30.9852711,9.983314735,18.97575811,18.83515542,52.38864625,39.63591524,37.08561659,20.75065484
ENSG00000196369,38.14889277,23.44872245,28.23661762,30.67073281,36.59273543,23.8398655,14.82073055,42.06846422,17.89217446,7.075706415,11.90523975,27.42171427,18.97662923,5.174737198,24.50723891
ENSG00000196371,6.789966864,7.408645435,6.028041964,6.347973022,8.302553417,149.2791578,167.594889,100.582957,39.67395206,33.28798245,13.32676091,13.65098439,77.5891737,25.52870351,55.27545126
ENSG00000196372,2.501566739,2.44557228,3.251970007,4.209708425,1.99876286,11.27993636,12.75272163,3.575223588,23.59692574,1.125680566,13.32676091,1.436945726,9.44157415,2.242386119,15.74187609
ENSG00000196378,5.003133478,6.329716489,7.138470747,6.949359939,2.921268795,6.079965699,6.290193778,5.124487143,7.001285659,10.2919366,6.752225528,6.70574672,5.234932202,3.277333559,7.692053088
ENSG00000196381,1.608150047,2.44557228,1.031112441,4.276529193,0.768754946,0.239998646,0.086167038,0,0,0,0.355380291,13.53123892,0.280442797,2.069894879,3.398814155
ENSG00000196387,13.49059206,13.01907596,11.18360417,12.42866297,15.37509892,7.599957124,9.478374186,8.699710732,2.333761886,4.341910755,22.74433862,15.86627572,10.56334534,11.38442184,10.55421238
ENSG00000196391,0.268025008,1.078928947,0.793163416,1.336415373,0.307501978,3.359981044,0.603169266,0.11917412,0.129653438,0.160811509,0.710760582,0.059872739,2.430504237,3.104842319,0.894424778
ENSG00000196396,73.08148545,72.93559681,74.47804479,65.35071174,77.18299658,52.31970483,53.59589767,74.1263024,49.52761336,152.9317455,65.38997353,94.89829064,63.09962922,41.74288007,35.4192212
ENSG00000196405,461.0030134,530.9768991,571.8708232,535.0338946,407.5938724,45.27974455,61.69559925,56.01183622,63.65983812,55.15834773,26.83121197,265.4757228,120.6838834,732.0528223,86.58031848
ENSG00000196411,5.896550171,5.826216313,7.138470747,8.218954544,5.996288579,9.919944035,18.43974614,11.79823784,25.152767,4.341910755,34.82726851,26.10451402,36.64452541,17.93908895,24.86500882
ENSG00000196415,0,0.431571579,6.186674647,0.066820769,0,1078.393916,1696.284311,317.9565511,7604.044492,2358.300786,17.23594411,22.15291327,542.0024447,81.93333898,2523.351183
ENSG00000196417,9.827583618,14.2418621,17.92549321,15.43559756,12.14632815,8.319953062,9.133706034,8.818884851,5.964058154,3.698664717,10.66140873,40.83320771,8.974169489,10.17698316,5.366548666
ENSG00000196418,3.394983432,3.884144209,3.093337324,4.209708425,4.920031655,2.879983752,2.67117818,3.575223588,2.593068762,8.040575471,3.731493055,5.02931004,5.14145127,6.037193398,1.788849555
ENSG00000196419,188.2428971,221.1085055,193.6111899,250.8451655,351.4747613,355.5979938,379.6519697,256.3435313,353.3056189,807.7562119,741.3232869,334.0898812,439.2669003,493.6699287,595.508017
ENSG00000196422,8.040750233,8.1279314,7.693685138,8.018492238,7.226296493,15.51991244,23.26510027,9.414755449,10.24262161,1.447303585,10.48371858,1.317200249,10.56334534,1.37992992,11.80640707
ENSG00000196428,16.79623382,18.2698635,24.27080054,12.76276681,18.4501187,13.03992643,14.30372832,20.61712269,5.704751277,10.2919366,19.36822586,29.51726012,15.79827754,6.727158358,4.114353977
ENSG00000196436,8.39811691,8.487574382,10.8663388,8.553058387,2.152513849,3.359981044,3.015846332,5.124487143,4.926830649,1.608115094,8.884507274,3.113382406,9.535055082,5.174737198,11.2697522
ENSG00000196437,5.003133478,7.408645435,3.807184398,7.216643014,11.3775732,3.519980141,4.566853017,4.051920067,4.537870334,0.643246038,7.818366401,31.6726787,5.889298727,14.14428168,5.903203533
ENSG00000196440,5.181816817,13.37871894,7.614368797,10.29039837,6.303790557,9.039949,6.721028968,8.699710732,1.555841257,4.181099245,6.396845237,2.51465502,7.571955506,8.279579518,3.2199292
ENSG00000196449,7.862066895,7.192859646,6.265990989,4.476991499,5.84253759,12.47992959,14.90689758,19.78290386,15.81771945,34.89609755,10.12833829,26.22425949,3.271832626,10.52196564,10.01755751
ENSG00000196453,55.12380993,43.15715788,36.08893544,39.4242535,27.36767608,20.07988672,26.7117818,12.51328256,31.11682515,3.055418679,21.5005076,54.96317401,33.09224999,37.94807279,34.34591146
ENSG00000196455,13.40125039,11.94014701,20.22566712,14.43328603,24.90766025,7.359958478,14.90689758,5.124487143,3.759949706,7.397329434,41.0464236,9.579638172,31.31611228,30.53094947,10.91198229
ENSG00000196456,19.38714223,23.59257964,10.8663388,26.52784515,10.45506727,5.679967956,8.013534539,6.435402459,6.482671906,4.502722264,7.996056546,5.149055517,7.384993642,15.69670284,6.439858399
ENSG00000196458,38.59560112,38.26601332,39.97543618,30.40344974,31.51895279,28.07984158,21.11092432,33.13040525,18.79974853,20.26225019,15.45904266,18.20131253,43.0012288,25.18372103,38.28138049
ENSG00000196459,8.666141918,14.45764789,10.78702246,10.29039837,15.06759694,5.039971566,5.083855245,5.243661263,7.260592535,15.75952792,10.83909887,3.831855269,9.067650421,6.899649598,5.008778755
ENSG00000196460,0.268025008,0.143857193,0.158632683,0.133641537,0,6.959960734,13.3558909,2.97935299,1.037227505,4.341910755,0,0,11.68511652,6.382175878,14.31079644
ENSG00000196465,2.054858393,1.294714736,2.220857566,2.271906134,1.691260881,20.15988626,19.81841875,6.673750698,26.96791513,22.03117679,48.15402942,29.93636929,46.74046609,72.27382954,29.15824775
ENSG00000196466,4.913791809,5.106930349,5.631460256,6.013869178,5.84253759,2.159987814,2.843512256,5.362835383,1.296534381,1.125680566,6.041464946,6.586001243,2.99138983,7.072140838,0.894424778
ENSG00000196470,5.717866832,9.494574733,7.376419772,9.020803768,6.918794514,9.279947646,12.32188644,12.87080492,4.278563458,22.1919883,25.94276124,18.14143979,21.7810572,20.87144003,9.838672555
ENSG00000196476,6.432600187,4.315715788,4.124449765,4.744274574,1.99876286,12.1599314,11.63255014,7.746317775,11.53915599,16.08115094,25.05431051,13.95034809,23.55719491,17.59410647,12.70083184
ENSG00000196497,20.28055892,23.88029402,17.76686053,25.65917516,26.90642311,18.79989394,22.66193101,14.77759083,20.09628291,27.65957962,12.79369047,50.89182779,28.51168431,43.46779247,32.37817695
ENSG00000196498,191.9952472,191.4739238,207.4122334,190.1719076,132.0720997,94.39946743,87.89037882,88.66554499,75.71760786,96.96934019,44.60022651,85.85750711,156.3935995,125.4011314,159.7442653
ENSG00000196502,54.49841825,38.40987051,48.46228474,50.44968033,82.87178318,102.8794196,63.76360816,124.6561291,256.0655403,292.1945126,184.2646809,30.17586024,56.55596397,30.35845823,81.39265477
ENSG00000196504,252.2115323,189.6757089,239.2180864,184.8262461,328.7196149,252.8785733,208.5242321,284.7069718,158.0475411,181.8778172,577.6706629,407.2543678,312.4132753,332.5631106,241.315805
ENSG00000196505,14.02664207,12.08400421,11.97676759,10.35721914,17.52761277,12.87992734,17.23340761,21.21299329,9.205394107,21.06630774,20.07898644,20.71596755,10.28290254,13.10933424,5.187663711
ENSG00000196507,25.81974242,22.08207911,23.63626981,18.57617368,22.60139541,74.07958207,62.81577074,53.15165735,71.30939097,113.5329257,23.98816964,11.67518402,86.75030506,46.22765231,96.9556459
ENSG00000196510,31.89497592,30.28193911,33.86807788,27.73061899,33.67146664,45.75974184,48.25354131,35.39471353,39.02568487,24.12172641,112.6555522,90.16834429,52.62976481,55.88716174,55.81210613
ENSG00000196511,4.020375117,4.315715788,5.076245864,4.94473688,3.690023741,1.679990522,2.154175951,2.145134153,4.79717721,14.63384736,5.153014219,4.490455393,7.852398303,2.759859839,1.6099646
ENSG00000196526,8.219433572,6.833216664,7.29710343,11.15906836,2.152513849,4.79997292,14.73456351,7.388795416,0,0,0.355380291,0.239490954,4.861008473,0.17249124,1.431079644
ENSG00000196531,1603.861647,1176.176409,1395.729664,1659.159686,1277.67072,1234.073038,1519.124881,957.9215735,1445.506182,1349.369376,2996.744303,1240.682889,1534.115578,4059.581332,1645.562706
ENSG00000196535,201.6441475,185.5038503,221.7684912,184.4921422,209.8701003,292.3183508,293.6572657,348.4651258,217.5584692,213.718496,22.21126818,63.52497563,456.7478346,358.7817791,432.0071676
ENSG00000196544,20.54858393,15.17693385,13.64241076,17.84114523,15.22134793,17.43990161,17.14724057,13.94337199,20.48524322,17.20683151,5.863774801,3.592364314,7.198031777,11.90189556,7.513168133
ENSG00000196547,86.92944419,116.0208261,74.24009577,93.01450996,97.01687419,138.3192196,152.5156574,242.1618111,123.8190334,271.7714509,189.5953852,149.2627373,216.5953198,74.51621566,162.9641945
ENSG00000196549,4.109716786,3.668358419,1.189745124,2.338726903,21.98639146,36.159796,6.20402674,79.6083119,10.8908888,16.40277396,0.177690145,3.293000621,1.028290254,3.104842319,12.52194689
ENSG00000196550,3.394983432,3.308715437,4.521031473,3.675142276,2.306264838,5.919966602,5.859358588,2.860178871,4.408216896,7.718952453,7.46298611,19.15927634,3.832718219,2.414877359,6.260973444
ENSG00000196557,3.841691778,3.021001051,3.014020982,5.145199186,2.152513849,0,0.086167038,0.11917412,0,0,0,0.239490954,0.093480932,2.587368599,0.178884956
ENSG00000196562,67.45296029,62.36209313,85.10643457,95.62051994,82.5642812,39.19977885,26.10861253,101.1788276,157.9178876,34.89609755,9.595267855,2.754145974,21.03320974,3.104842319,47.04674331
ENSG00000196565,0.893416693,0.791214561,0,0.267283075,0.461252968,5.199970664,0.603169266,0,1.944801572,4.181099245,111.9447916,0.478981909,35.52275423,5.864702158,171.5506724
ENSG00000196569,2.501566739,5.106930349,1.665643174,1.536877679,1.691260881,0.079999549,0.344668152,1.191741196,0,0.482434528,0,0.239490954,7.945879235,0.17249124,1.252194689
ENSG00000196576,189.2256555,127.6013301,136.979322,127.4940266,168.8185861,24.55986144,18.00891095,31.81948994,29.94994421,20.10143868,7.107605819,21.67393136,151.9065148,12.936843,96.24010608
