,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000213199,36.61511102,2.544454518,0.473834392,5.369923671,1.81E-10,3.12E-06,IFNLR1
ENSG00000084090,7227.241261,1.004704392,0.18725273,5.365499292,1.85E-10,3.18E-06,PLCG1
ENSG00000120889,1689.795681,1.144009743,0.2134132,5.360538826,1.92E-10,3.26E-06,THBS4-AS1
ENSG00000136158,436.026294,4.045998687,0.755994119,5.35189175,2.09E-10,3.39E-06,ZNF219
ENSG00000143816,182.508936,6.177640043,1.154491884,5.350960132,2.16E-10,3.40E-06,NPTX1
ENSG00000185436,1729.729167,1.187642034,0.221963313,5.35062312,2.19E-10,3.40E-06,RPGRIP1
ENSG00000124181,1854.351562,1.465749945,0.274328328,5.343049898,2.20E-10,3.53E-06,HIVEP1
ENSG00000249825,23.12518141,3.58933058,0.672241571,5.339346354,2.26E-10,3.59E-06,HTRA3
ENSG00000165804,217.430065,2.229068115,0.417801413,5.335233542,2.49E-10,3.66E-06,PHEX
ENSG00000171246,148.5748118,6.842405078,1.283217509,5.332225463,2.70E-10,3.72E-06,LINC02614
ENSG00000092200,342.1952992,5.386516254,1.012679627,5.319072401,2.72E-10,3.97E-06,WDR46
ENSG00000095951,2580.096223,1.262116806,0.237703995,5.309615459,2.92E-10,4.17E-06,ZSWIM8-AS1
ENSG00000108379,172.9068968,4.793411976,0.904644629,5.298668475,3.09E-10,4.38E-06,MMP24
ENSG00000170801,107.0780389,8.717353485,1.64550676,5.297671027,3.42E-10,4.39E-06,C2orf92
ENSG00000102174,636.524317,4.144778582,0.782580934,5.29629384,3.45E-10,4.42E-06,SELE
ENSG00000241288,48.34156689,1.292723948,0.244141348,5.294981611,3.62E-10,4.43E-06,ZNF284
ENSG00000236222,264.9289829,1.939372965,0.367082568,5.283206383,3.74E-10,4.69E-06,LRRN2
ENSG00000272589,50.42223027,2.698379018,0.510733527,5.283340285,3.80E-10,4.69E-06,LINC01602
ENSG00000125966,40.63961112,1.483733743,0.281224661,5.275973094,4.01E-10,4.86E-06,EHD4
ENSG00000228486,82.50655659,1.509326877,0.286207551,5.273539675,4.14E-10,4.92E-06,GPR85
ENSG00000007908,20.36897109,5.200873407,0.986915331,5.269827355,4.15E-10,5.00E-06,SNX18
ENSG00000186026,123.3437563,1.488350803,0.282473811,5.268986875,4.84E-10,5.01E-06,EP400
ENSG00000170382,277.7762079,2.165801595,0.411092219,5.26840814,4.86E-10,5.02E-06,ABCA10
ENSG00000205293,14.25139966,2.946956066,0.559416118,5.267914123,4.98E-10,5.02E-06,LINC01873
ENSG00000103966,1271.747499,1.228171474,0.233264722,5.265140247,5.41E-10,5.08E-06,AMY2B
ENSG00000164604,1076.115245,5.211184421,0.990021813,5.26370667,6.15E-10,5.08E-06,BNIPL
ENSG00000178996,4223.107401,1.525547446,0.289926884,5.261835078,6.22E-10,5.08E-06,VASH1
ENSG00000183495,3391.260953,1.024326087,0.194654738,5.262271536,6.29E-10,5.08E-06,REEP2
ENSG00000154263,37.46802404,2.405959285,0.45728213,5.261432996,6.42E-10,5.08E-06,PDE1B
ENSG00000232164,204.7752081,1.198252231,0.228317079,5.24819359,6.62E-10,5.37E-06,LOC100128398
ENSG00000240038,228.713916,1.989087354,0.379007295,5.248150584,6.81E-10,5.37E-06,TUBGCP6
ENSG00000163141,35.98675656,2.191965283,0.417719278,5.247460191,6.94E-10,5.38E-06,WNT10A
ENSG00000071246,2318.061546,4.730703285,0.901835329,5.245639788,6.98E-10,5.42E-06,MAP2
ENSG00000132563,20.71506169,2.110884034,0.403203869,5.235277228,7.17E-10,5.71E-06,LOC101927793
ENSG00000123360,174.3183683,1.961173083,0.374870423,5.231602608,7.62E-10,5.80E-06,LRTM1
ENSG00000176593,277.4907465,1.286493574,0.24602282,5.22916359,7.81E-10,5.87E-06,RARG
ENSG00000128159,2712.293807,1.135958897,0.217362153,5.226111738,7.97E-10,5.94E-06,LRRN1
ENSG00000135925,516.269724,1.975701561,0.378356442,5.221799718,8.13E-10,6.07E-06,SYT14
ENSG00000078018,756.8939651,2.512752472,0.481818912,5.215138741,8.48E-10,6.25E-06,TFAP2E
ENSG00000259881,32.96599072,1.926998144,0.369822099,5.210608422,8.75E-10,6.39E-06,ZNF496
ENSG00000144771,159.0642002,6.725883565,1.292047741,5.20559988,9.49E-10,6.55E-06,CTSF
ENSG00000172819,347.4073863,1.688014865,0.325261612,5.189714377,9.80E-10,7.03E-06,NINL
ENSG00000175928,358.8364393,2.398069886,0.462077961,5.1897517,1.02E-09,7.03E-06,HLA-DRB1
ENSG00000143469,317.6332575,5.31393641,1.024068148,5.18904569,1.10E-09,7.04E-06,POLR1H
ENSG00000116819,51.18897796,1.524398522,0.294186463,5.181742588,1.10E-09,7.28E-06,SH3BP5-AS1
ENSG00000259641,19.34680299,5.661083463,1.093124918,5.178807444,1.11E-09,7.37E-06,ADGRE4P
ENSG00000162714,1309.163725,1.176646927,0.227537089,5.171231349,1.12E-09,7.65E-06,PDGFA
ENSG00000174080,425.5688571,2.020461387,0.391722233,5.157893059,1.12E-09,8.12E-06,EVA1B
ENSG00000101004,202.6104002,3.000368041,0.58264367,5.149576311,1.22E-09,8.45E-06,PLAC9
ENSG00000236884,10641.69338,7.67615007,1.491943055,5.145069071,1.22E-09,8.64E-06,CLLU1
ENSG00000224859,19.47601161,20.93176778,4.070825215,5.141897937,1.24E-09,8.76E-06,FAM167B
ENSG00000224660,710.6203621,1.785511783,0.347455862,5.138816113,1.28E-09,8.87E-06,CDC42BPG
ENSG00000268758,227.2069493,3.880717242,0.755914807,5.13380239,1.31E-09,9.08E-06,APBB2
ENSG00000197461,1780.320486,4.837687604,0.943326097,5.128330085,1.32E-09,9.28E-06,TIMP2
ENSG00000142694,118.6226831,2.212216849,0.4315918,5.125715661,1.35E-09,9.37E-06,FCHO2
ENSG00000189129,18.0690576,2.874034684,0.561108627,5.122064688,1.44E-09,9.51E-06,ADAM29
ENSG00000255104,31.35233246,3.046119117,0.595016432,5.119386546,1.46E-09,9.62E-06,BCL2
ENSG00000257127,433.8375053,5.566869461,1.090671883,5.104073506,1.49E-09,1.04E-05,CCDC68
ENSG00000183615,13.31334406,3.400619113,0.66672908,5.100451165,1.50E-09,1.05E-05,DLGAP4
ENSG00000171219,341.4439217,1.353843505,0.266000104,5.089635236,1.53E-09,1.11E-05,KCNQ1OT1
ENSG00000163697,1238.19504,2.684149875,0.528878983,5.075168345,1.60E-09,1.20E-05,AHSA2P
ENSG00000035862,1853.201371,1.818232175,0.358373951,5.073561208,1.65E-09,1.21E-05,CD84
ENSG00000157107,273.4475943,1.129804662,0.222958678,5.067327597,1.70E-09,1.24E-05,CTBP1-AS
ENSG00000168594,410.7226268,5.691588228,1.123436919,5.066228581,1.71E-09,1.25E-05,APH1B
ENSG00000171791,13290.44873,1.124476682,0.222084571,5.063281411,1.83E-09,1.26E-05,MALAT1
ENSG00000166510,86.70797962,3.70435484,0.732787941,5.055152567,1.83E-09,1.31E-05,ZC3H12D
ENSG00000080845,3598.306079,1.199689186,0.237949972,5.041770653,1.84E-09,1.39E-05,LRRC37A3
ENSG00000283241,34.93223353,4.34382607,0.862183632,5.038168096,1.90E-09,1.41E-05,UNC5CL
ENSG00000269821,497.7827142,1.043929407,0.2072618,5.036767049,1.97E-09,1.42E-05,EOGT
ENSG00000173209,1558.100875,1.376578266,0.273404204,5.034956476,2.02E-09,1.43E-05,PMAIP1
ENSG00000066294,2213.460443,1.301901161,0.259172289,5.023303862,2.02E-09,1.51E-05,SOX12
ENSG00000280927,135.7148385,1.61260062,0.321562843,5.014884822,2.15E-09,1.57E-05,STAM
ENSG00000138613,874.2918913,1.239432249,0.247526413,5.007272701,2.18E-09,1.62E-05,MAP6
ENSG00000251562,20546.01431,2.134101433,0.426206044,5.007205937,2.30E-09,1.62E-05,SAP25
ENSG00000178199,1344.044764,1.298317535,0.26058349,4.982347635,2.32E-09,1.82E-05,SDC3
ENSG00000176809,157.9409131,1.156679784,0.232466543,4.975682823,2.43E-09,1.87E-05,PGBD1
ENSG00000124602,112.1564469,1.415160005,0.284467244,4.974773138,2.57E-09,1.87E-05,LANCL2
ENSG00000163378,266.7182012,1.429122812,0.28737168,4.973081598,2.64E-09,1.89E-05,ZNF793
ENSG00000141682,7179.833352,2.028507886,0.4080075,4.971741659,2.73E-09,1.90E-05,XKRX
ENSG00000177732,902.6578201,1.051836713,0.211656814,4.969538634,2.78E-09,1.91E-05,GCLC
ENSG00000136738,1048.250833,1.657695896,0.333607921,4.968994406,2.90E-09,1.92E-05,GABBR2
ENSG00000171533,45.24047386,6.138760955,1.238078879,4.958295516,2.91E-09,2.01E-05,KNL1
ENSG00000205307,132.9398972,2.122497268,0.42841929,4.954252331,2.93E-09,2.04E-05,CCDC14
ENSG00000162512,1447.556664,4.595821834,0.929336518,4.945271971,2.97E-09,2.13E-05,IL11RA
ENSG00000137338,63.7792489,1.323282683,0.267818854,4.940961643,3.03E-09,2.17E-05,PDPN
ENSG00000132434,657.5340575,1.417757937,0.287078357,4.938574792,3.03E-09,2.19E-05,SERPINF2
ENSG00000188227,200.5233379,1.057178251,0.214334478,4.932376066,3.33E-09,2.25E-05,IGFLR1
ENSG00000182489,185.13224,1.529095248,0.310034001,4.932024364,3.65E-09,2.25E-05,AGFG2
ENSG00000001084,1494.568969,1.4331828,0.291097686,4.923374067,3.77E-09,2.34E-05,IL24
ENSG00000136928,75.55841192,5.091351364,1.03561181,4.91627395,3.77E-09,2.42E-05,NSUN5P1
ENSG00000137812,353.9129485,2.356539025,0.479310674,4.916516889,3.77E-09,2.42E-05,PBLD
ENSG00000175455,530.1331631,1.279747423,0.261075482,4.901829211,3.77E-09,2.58E-05,HLA-DQA1
ENSG00000137070,254.173304,1.652078182,0.337134095,4.900359254,3.77E-09,2.60E-05,NRBP2
ENSG00000162493,32.88624137,5.61371767,1.148442701,4.888112976,3.77E-09,2.74E-05,OGT
ENSG00000167711,128.273643,2.289392249,0.468993679,4.881499163,3.77E-09,2.83E-05,IZUMO4
ENSG00000126246,2000.332501,1.030381722,0.211405036,4.873969617,3.86E-09,2.92E-05,DMD
ENSG00000106351,593.2469361,1.183156392,0.242797307,4.873021064,4.03E-09,2.93E-05,HLA-DRB3
ENSG00000162892,5315.188262,1.256548016,0.258213926,4.866306155,4.08E-09,3.03E-05,MCOLN3
ENSG00000270011,54.4071226,1.913421311,0.393566629,4.86174683,4.16E-09,3.09E-05,CHST5
ENSG00000237517,20.66173488,2.290129334,0.472226818,4.849638455,4.19E-09,3.27E-05,MIR4524B
ENSG00000223705,1160.530729,1.332372497,0.274804202,4.848442958,4.23E-09,3.27E-05,CYBRD1
ENSG00000108187,118.2730724,1.431610281,0.295669563,4.841926464,4.27E-09,3.37E-05,PLA2G15
ENSG00000225890,9440.16616,4.830585256,0.997847427,4.841005876,4.31E-09,3.38E-05,MINAR2
ENSG00000185189,194.3313156,1.510257314,0.312056149,4.839697339,4.33E-09,3.40E-05,UPF3A
ENSG00000147162,5928.029698,1.315253576,0.271788881,4.839247178,4.34E-09,3.40E-05,SFXN3
ENSG00000099840,87.16149953,1.597294084,0.331360107,4.820417578,4.44E-09,3.70E-05,PABPN1L
ENSG00000198947,935.489802,2.995858696,0.621763213,4.818327352,4.47E-09,3.72E-05,EFR3B
