Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000185155,85.62079166,2.29089315,0.349263125,6.559218501,5.41E-11,1.60E-09,MIXL1
ENSG00000100731,12144.92038,1.272359738,0.194436023,6.543847799,6.00E-11,1.76E-09,PCNX1
ENSG00000196584,128.8161512,1.194055883,0.18259647,6.539315248,6.18E-11,1.81E-09,XRCC2
ENSG00000035862,11402.87507,1.033391404,0.158178021,6.533090999,6.44E-11,1.88E-09,TIMP2
ENSG00000228859,23.50538744,2.849033663,0.436759425,6.523118906,6.89E-11,1.99E-09,LY6G6C
ENSG00000230539,24.99854803,3.29219732,0.504854607,6.521080079,6.98E-11,2.01E-09,AOAH-IT1
ENSG00000124762,1521.492165,1.213905391,0.186177817,6.520139776,7.02E-11,2.02E-09,CDKN1A
ENSG00000171658,56.69312214,2.673320797,0.410714095,6.508958003,7.57E-11,2.17E-09,NMRAL2P
ENSG00000253686,25.04419911,2.725598231,0.418764567,6.508664881,7.58E-11,2.17E-09,LINC01484
ENSG00000215196,58.56829497,1.934997116,0.297348461,6.507506741,7.64E-11,2.18E-09,BASP1-AS1
ENSG00000182022,12691.09259,1.047859085,0.161085648,6.504981024,7.77E-11,2.21E-09,CHST15
ENSG00000141526,8100.642838,1.491381146,0.229423028,6.500573021,8.00E-11,2.27E-09,SLC16A3
ENSG00000080986,369.2968128,1.120148646,0.17233261,6.499922712,8.04E-11,2.27E-09,NDC80
ENSG00000270959,90.79462117,1.634020083,0.251544275,6.495954168,8.25E-11,2.33E-09,LPP-AS2
ENSG00000160410,13223.15766,1.474016576,0.227027167,6.492688055,8.43E-11,2.37E-09,SHKBP1
ENSG00000007237,10761.47047,1.430386385,0.220370004,6.49083977,8.54E-11,2.40E-09,GAS7
ENSG00000121060,14662.53253,1.522856765,0.234767696,6.486653786,8.78E-11,2.46E-09,TRIM25
ENSG00000129667,4021.018316,1.091206962,0.168289072,6.484122506,8.92E-11,2.49E-09,RHBDF2
ENSG00000156414,866.5296702,1.942156858,0.29975974,6.479045047,9.23E-11,2.57E-09,TDRD9
ENSG00000121211,53.06519778,1.812772352,0.280054144,6.472935292,9.61E-11,2.67E-09,MND1
ENSG00000088053,332.6800886,2.340435715,0.36212902,6.462988571,1.03E-10,2.85E-09,GP6
ENSG00000276775,1622.279364,4.590295968,0.710695889,6.458875083,1.05E-10,2.91E-09,IGHV4-4
ENSG00000157150,30.4541238,6.854643604,1.061791667,6.455733096,1.08E-10,2.96E-09,TIMP4
ENSG00000074842,1772.896446,1.445497802,0.2243334,6.443524702,1.17E-10,3.19E-09,MYDGF
ENSG00000174175,1210.984612,2.155246466,0.334641049,6.440472468,1.19E-10,3.24E-09,SELP
ENSG00000211664,294.0744858,2.905364817,0.451472986,6.435301573,1.23E-10,3.34E-09,IGLV2-18
ENSG00000113742,5192.714915,1.317153098,0.204723266,6.43382222,1.24E-10,3.37E-09,CPEB4
ENSG00000101236,14652.28346,1.375146321,0.213754621,6.433294013,1.25E-10,3.38E-09,RNF24
ENSG00000259772,142.0550365,2.398576507,0.372922127,6.431842828,1.26E-10,3.40E-09,LOC283710
ENSG00000278677,10.26103792,3.726605893,0.579618771,6.42940857,1.28E-10,3.45E-09,H2AC17
ENSG00000131462,576.9703072,1.358498067,0.211355103,6.427562195,1.30E-10,3.49E-09,TUBG1
ENSG00000042062,157.2964266,1.94548708,0.302937548,6.42207311,1.34E-10,3.61E-09,RIPOR3
ENSG00000136231,285.5064792,1.269703452,0.19787365,6.416738422,1.39E-10,3.73E-09,IGF2BP3
ENSG00000008394,1075.039233,1.245096974,0.194256918,6.409537378,1.46E-10,3.89E-09,MGST1
ENSG00000085063,3125.100786,1.199511122,0.187382891,6.401390822,1.54E-10,4.08E-09,CD59
ENSG00000152380,125.5378323,1.259759399,0.19685225,6.399517404,1.56E-10,4.13E-09,FAM151B
ENSG00000281818,3926.949914,1.709605,0.267323176,6.395274161,1.60E-10,4.22E-09,MANSC1
ENSG00000151694,3502.198574,1.023103011,0.160158578,6.388062514,1.68E-10,4.41E-09,ADAM17
ENSG00000143776,177.5868192,1.450047696,0.227187464,6.382604347,1.74E-10,4.57E-09,CDC42BPA
ENSG00000182263,30.0971001,5.257284641,0.823955034,6.380547993,1.76E-10,4.62E-09,FIGN
ENSG00000142089,41695.62834,2.42600625,0.380295688,6.379263101,1.78E-10,4.65E-09,IFITM3
ENSG00000117724,877.1303443,1.599695511,0.250828156,6.377655264,1.80E-10,4.69E-09,CENPF
ENSG00000125900,209.1232274,1.608422045,0.25249219,6.370185318,1.89E-10,4.91E-09,SIRPD
ENSG00000140859,427.0098156,1.630296056,0.25601576,6.367951929,1.92E-10,4.97E-09,KIFC3
ENSG00000171860,6046.124787,1.987473103,0.312127222,6.367509676,1.92E-10,4.97E-09,C3AR1
ENSG00000175274,3517.805317,1.633637724,0.256629178,6.365752086,1.94E-10,5.02E-09,TP53I11
ENSG00000169902,1602.756658,2.939874943,0.461874706,6.365091887,1.95E-10,5.04E-09,TPST1
ENSG00000106258,30.87377569,1.46899853,0.231064884,6.357515289,2.05E-10,5.29E-09,CYP3A5
ENSG00000124635,346.4351689,1.773179696,0.278919006,6.357328326,2.05E-10,5.29E-09,H2BC11
ENSG00000115129,410.9912572,1.788464133,0.281360358,6.356489389,2.06E-10,5.29E-09,TP53I3
ENSG00000165029,4624.05986,1.788694931,0.281403756,6.356329271,2.07E-10,5.29E-09,ABCA1
ENSG00000173540,1068.683307,1.443179771,0.227043268,6.356408546,2.07E-10,5.29E-09,GMPPB
ENSG00000248360,891.8241836,1.281263137,0.201567113,6.356508844,2.06E-10,5.29E-09,LINC00504
ENSG00000173212,106.9054183,1.973517949,0.31064688,6.352930211,2.11E-10,5.40E-09,MAB21L3
ENSG00000162063,399.6446661,1.463173316,0.230490905,6.348073982,2.18E-10,5.54E-09,CCNF
ENSG00000097033,10761.89405,1.138206521,0.179375962,6.345368187,2.22E-10,5.62E-09,SH3GLB1
ENSG00000198363,3219.243511,1.889902014,0.29803466,6.341215519,2.28E-10,5.76E-09,ASPH
ENSG00000262446,232.9749397,1.672712329,0.26378392,6.341221746,2.28E-10,5.76E-09,PFKFB3
ENSG00000170525,7338.509164,1.903540056,0.300570084,6.333098855,2.40E-10,6.04E-09,IGHV1-58
ENSG00000211968,277.5226308,4.039541394,0.638079322,6.330782485,2.44E-10,6.10E-09,ZBTB7B
ENSG00000160685,6674.824057,1.076841746,0.17017848,6.327719864,2.49E-10,6.22E-09,CENPU
ENSG00000151725,292.9853262,1.314245007,0.207715923,6.327126917,2.50E-10,6.23E-09,ATP2C2
ENSG00000064270,132.240079,3.224598654,0.509665482,6.32689238,2.50E-10,6.24E-09,ZNF215
ENSG00000149054,52.00828234,2.273326009,0.359506391,6.323464802,2.56E-10,6.37E-09,LINC00664
ENSG00000268658,54.44787773,1.684739855,0.266553539,6.320455784,2.61E-10,6.48E-09,KCNJ2
ENSG00000123700,5052.630199,1.484323085,0.234885665,6.319342995,2.63E-10,6.51E-09,JAG1
ENSG00000101384,358.8999468,1.122031043,0.177602245,6.317662495,2.66E-10,6.57E-09,SIPA1L2
ENSG00000116991,2745.628848,1.832515003,0.290334338,6.311740515,2.76E-10,6.81E-09,NBPF10
ENSG00000271425,4471.473913,1.014270788,0.160727934,6.310482323,2.78E-10,6.85E-09,HK3
ENSG00000160883,11799.32993,1.801679655,0.285577996,6.308888222,2.81E-10,6.92E-09,SPSB1
ENSG00000171621,196.4346046,1.10929082,0.175929581,6.305311543,2.88E-10,7.07E-09,PHF21A
ENSG00000135365,7508.293476,1.184460771,0.187889238,6.304037346,2.90E-10,7.12E-09,ACVR1B
ENSG00000135503,1884.094,1.082597812,0.171774966,6.302419031,2.93E-10,7.19E-09,LILRA3
ENSG00000273884,28.65556134,3.376098773,0.536278953,6.295415392,3.07E-10,7.47E-09,TMEM119
ENSG00000183160,247.6768826,2.644721463,0.420555296,6.288641443,3.20E-10,7.77E-09,PTGER4P2-CDK2AP2P2
ENSG00000275450,55.06551992,2.202705961,0.350412666,6.286034086,3.26E-10,7.87E-09,RAB13
ENSG00000143545,440.5037728,1.891481737,0.301208439,6.2796439,3.39E-10,8.17E-09,MGAM
ENSG00000257335,15137.29338,2.445711428,0.389673479,6.276309671,3.47E-10,8.32E-09,FAM72D
ENSG00000215784,83.06883673,1.601680199,0.25521213,6.275878026,3.48E-10,8.34E-09,GPT2
ENSG00000166123,219.7578488,1.259763082,0.201341604,6.256844374,3.93E-10,9.39E-09,BIK
ENSG00000100290,82.18788725,1.540611523,0.246273009,6.255705918,3.96E-10,9.44E-09,LRFN1
ENSG00000128011,743.1428835,1.407484334,0.225039554,6.254386428,3.99E-10,9.50E-09,DENND3
