"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162366",189.519330932532,-0.202424976957012,0.125516068369736,-1.61274153649176,0.106800672413903,0.157522061988398
"ENSG00000162367",720.165197186133,-1.35858547487095,0.101810449239748,-13.3442636292832,1.27928434282019e-40,1.62116205512559e-38
"ENSG00000162368",3184.62375920238,-0.0220875632611241,0.0340874487759251,-0.647967626040817,0.51700588944917,0.598298512771817
"ENSG00000162373",244.08099934337,0.3475185379738,0.105564669033422,3.29199666096404,0.000994787928088211,0.00242089483218373
"ENSG00000162384",669.700285152531,-0.0267226565552808,0.0693663043736576,-0.3852397326998,0.700059808300156,0.761835888511423
"ENSG00000162385",667.57121161935,0.0129964198601956,0.0436181683490066,0.297958863293066,0.765734560663093,0.815989129258709
"ENSG00000162390",177.263107946624,0.555579339855424,0.0764032132762124,7.27167505176644,3.55056873978607e-13,3.07502123771732e-12
"ENSG00000162402",535.986198612196,-0.448807643438953,0.0768604636559049,-5.83925235538795,5.24355944841224e-09,2.86331069434101e-08
"ENSG00000162413",830.763384396176,0.11568431657817,0.0605874238046097,1.90937837118218,0.0562132988709538,0.0900016874894374
"ENSG00000162419",268.102860263973,-0.0947640060694001,0.0401570292067076,-2.35983607207605,0.0182830121290788,0.0332240330844065
"ENSG00000162430",2648.10810361871,0.053123377442325,0.0480773449532107,1.104956554777,0.269178414792954,0.347376921647816
"ENSG00000162434",385.091889925178,-0.44944734535326,0.120202928338661,-3.73907151485514,0.000184701181831551,0.000516572940053995
"ENSG00000162437",434.331515585999,-0.466507193089774,0.0648189743907055,-7.19707766861346,6.15167256752653e-13,5.18518272606881e-12
"ENSG00000162441",452.656340254941,0.0966465288342082,0.045971888900124,2.10229623246887,0.0355273344125824,0.0601857501380948
"ENSG00000162458",1735.2826318801,0.830336798224464,0.0913972851049727,9.08491753634472,1.03777320896115e-19,1.81899040203445e-18
"ENSG00000162493",1405.47644282317,-0.101480038798226,0.100388759047648,-1.01087053730847,0.312078397061372,0.392590635280879
"ENSG00000162496",265.351324522904,0.104644257463694,0.0859861917359128,1.21698909267997,0.223608365844682,0.296486137515048
"ENSG00000162511",122.794901794545,-0.2179546991024,0.128736603415417,-1.69302819338092,0.0904501008603773,0.13656701752748
"ENSG00000162512",1918.10355739563,0.150753429768642,0.0583595950093995,2.58318156156432,0.00978937906498676,0.0191090481925423
"ENSG00000162517",299.925646675463,-0.276061505017358,0.0648562875308594,-4.25651105740527,2.07641771823279e-05,6.75893278521303e-05
"ENSG00000162520",386.827421202108,0.0466239366021411,0.0809630447483956,0.575866887751465,0.564705158381203,0.642704074651881
"ENSG00000162521",2145.87265483958,0.178200715709245,0.0418224206253021,4.26088956700502,2.03614831245098e-05,6.64077559938033e-05
"ENSG00000162522",967.595290413376,0.533380803286179,0.0847921906111649,6.29044726220279,3.16552580976229e-10,1.9897332983255e-09
"ENSG00000162542",790.57015963641,0.160797425202445,0.0433825102589253,3.70650347899967,0.000210140350945419,0.000582256187276513
"ENSG00000162545",118.680294616137,-0.463204727494884,0.107140326572361,-4.32334623492157,1.53680261592067e-05,5.11262789394249e-05
"ENSG00000162551",1515.28702809192,-0.0533804381594002,0.158957478641221,-0.335815833364367,0.737009749570759,0.792889587140673
"ENSG00000162571",344.994676649555,1.80464207714013,0.21487823028771,8.39844071092648,4.52446305398923e-17,5.95964219477076e-16
