,ID,adj.P.Val,P.Value,logFC,Gene.symbol
3,ILMN_1700147,5.39E-18,3.31E-22,-4.0872908,VPREB3
4,ILMN_2292646,6.64E-18,5.44E-22,-1.5335801,GAD1
5,ILMN_1678170,1.82E-17,1.86E-21,-2.9389683,MME
6,ILMN_1709173,2.41E-16,2.96E-20,-2.1874464,HMHB1
7,ILMN_1804993,3.00E-16,4.31E-20,-1.7282517,FAM178B
8,ILMN_1887357,3.71E-16,6.08E-20,-1.3489358,CHRM3
9,ILMN_1796455,4.79E-16,8.84E-20,-2.7209084,RYR3
13,ILMN_1738818,1.75E-15,4.68E-19,-1.3069309,RAG1
15,ILMN_1900639,5.12E-15,1.57E-18,-1.3019517,SAPCD1
17,ILMN_1720266,4.63E-14,1.61E-17,-1.3549981,NUP62CL
19,ILMN_2134765,5.72E-14,2.23E-17,-1.6794936,PKLR
21,ILMN_1756550,9.78E-14,4.21E-17,-1.3710781,SLC25A21
22,ILMN_2380561,1.11E-13,5.01E-17,-1.0183024,AKAP12
23,ILMN_1780417,1.30E-13,6.13E-17,-1.0695026,ZNF121
26,ILMN_1684836,1.92E-13,1.05E-16,-1.0325257,MRE11A
28,ILMN_1777031,2.02E-13,1.16E-16,-1.5389857,LRIG1
30,ILMN_1766613,5.97E-13,3.67E-16,-1.4595102,NPY
31,ILMN_1780774,7.31E-13,4.65E-16,-1.1725723,APOC1
32,ILMN_1658636,7.90E-13,5.18E-16,-1.3677109,CXorf57
34,ILMN_2128795,8.35E-13,5.82E-16,-2.7576785,CHTF18
37,ILMN_1731062,1.12E-12,8.52E-16,-1.7695445,FAM129C
38,ILMN_1789007,1.13E-12,8.82E-16,-2.228923,C22orf34
43,ILMN_1703279,2.89E-12,2.55E-15,-1.600346,RALGDS
45,ILMN_1761422,5.72E-12,5.28E-15,-1.1328414,EBF1
47,ILMN_1756705,8.69E-12,8.45E-15,-1.5850631,SNORA62
51,ILMN_1664063,1.01E-11,1.06E-14,-1.9356217,ANK1
53,ILMN_1911927,1.76E-11,1.92E-14,-1.0314184,RAB35
55,ILMN_1707342,1.94E-11,2.19E-14,-1.0908395,PRG2
56,ILMN_1699856,1.95E-11,2.25E-14,2.2452855,DLST
59,ILMN_1778681,2.31E-11,2.79E-14,-2.854882,SYNGR1
64,ILMN_1700074,2.85E-11,3.75E-14,-1.013231,CCDC81
66,ILMN_1684694,3.11E-11,4.25E-14,-1.0395363,MND1
67,ILMN_1812571,3.11E-11,4.28E-14,1.3189882,PDIA3P1
69,ILMN_1729314,3.55E-11,5.02E-14,-5.6389587,VPREB1
70,ILMN_1773228,3.98E-11,5.72E-14,1.264008,HMGN5
71,ILMN_1668313,3.98E-11,5.79E-14,-1.272831,BACH2
72,ILMN_1794534,4.18E-11,6.17E-14,-1.1966429,MYH10
74,ILMN_1671906,4.34E-11,6.58E-14,-1.8633015,CENPW
81,ILMN_1723971,8.15E-11,1.35E-13,-1.5187306,TMBIM1
82,ILMN_2075440,9.02E-11,1.52E-13,1.9349602,BAX
83,ILMN_1738549,1.03E-10,1.74E-13,-5.1243975,CENPE
84,ILMN_1749799,1.04E-10,1.79E-13,-2.4428616,KIF14
92,ILMN_2058468,1.73E-10,3.26E-13,-1.3757297,KCNH2
97,ILMN_1815154,2.32E-10,4.62E-13,-3.5920558,NDRG3
105,ILMN_1763907,3.79E-10,8.15E-13,-1.308538,NMU
108,ILMN_1705213,5.24E-10,1.16E-12,1.8224026,AVP
111,ILMN_2321064,5.46E-10,1.24E-12,2.316815,GANAB
112,ILMN_1716279,6.37E-10,1.47E-12,-1.8036144,CLIC1
118,ILMN_1808071,8.29E-10,2.01E-12,-1.3911014,FAM83D
124,ILMN_1739987,9.89E-10,2.51E-12,-1.9619671,PLOD2
125,ILMN_1804530,1.00E-09,2.57E-12,2.4722673,CRMP1
129,ILMN_2385097,1.23E-09,3.24E-12,1.6179365,TROAP
132,ILMN_2162253,1.38E-09,3.74E-12,-1.7045873,SASS6
133,ILMN_2230117,1.41E-09,3.86E-12,-2.8130265,EZH2
135,ILMN_1739441,1.47E-09,4.06E-12,1.3922918,CAPN1
138,ILMN_1856443,2.27E-09,6.43E-12,-1.4104569,AKR1C2
139,ILMN_1756982,2.28E-09,6.50E-12,1.2307654,CDKN3
148,ILMN_2148796,3.05E-09,9.24E-12,-1.5437647,ARPP21
149,ILMN_1781943,3.13E-09,9.57E-12,-1.4122854,POLQ
156,ILMN_1771599,4.45E-09,1.42E-11,-2.3028782,ARHGAP11B
161,ILMN_1789541,5.14E-09,1.70E-11,-1.1458246,MS4A2
162,ILMN_1700337,5.37E-09,1.78E-11,-1.4880417,HNRNPR
166,ILMN_2089458,6.11E-09,2.08E-11,-1.0081066,HMGN2
172,ILMN_1652913,6.43E-09,2.27E-11,-1.3385192,RIF1
173,ILMN_1705261,6.85E-09,2.43E-11,1.3906619,ASPM
175,ILMN_2412336,6.87E-09,2.46E-11,-1.0275573,CDH1
176,ILMN_1666305,6.92E-09,2.50E-11,-1.4317497,MYO1G
177,ILMN_2374728,6.92E-09,2.51E-11,-1.6669728,CAPRIN2
178,ILMN_1740291,6.94E-09,2.55E-11,-2.4389161,NFIA
179,ILMN_2215881,6.94E-09,2.56E-11,-1.073884,PRPS1
188,ILMN_1806721,8.36E-09,3.22E-11,-1.4299399,CENPF
193,ILMN_2175894,9.99E-09,3.95E-11,-1.3174089,GMNN
194,ILMN_2058141,1.18E-08,4.71E-11,-1.1188983,NEK2
195,ILMN_1686835,1.22E-08,4.88E-11,-1.2058951,FAM120C
197,ILMN_2149053,1.32E-08,5.32E-11,-1.5326073,E2F7
198,ILMN_1815184,1.33E-08,5.38E-11,-2.3732581,CCDC18
199,ILMN_1770940,1.35E-08,5.51E-11,-2.559704,DDB1
201,ILMN_1783253,1.35E-08,5.58E-11,-1.0874498,CDC42
203,ILMN_1692295,1.36E-08,5.66E-11,2.0275531,PBK
205,ILMN_1681118,1.41E-08,5.92E-11,-1.4008134,HOOK1
207,ILMN_1758049,1.43E-08,6.07E-11,-1.2040835,ADGRE5
208,ILMN_1667050,1.48E-08,6.32E-11,-1.3319684,TSPYL5
209,ILMN_1664516,1.52E-08,6.50E-11,-2.3925315,ZNF789
215,ILMN_1720114,1.78E-08,7.86E-11,-1.4593484,ZNF519
216,ILMN_2051373,1.84E-08,8.15E-11,-1.6816743,MBOAT7
218,ILMN_1851547,1.92E-08,8.56E-11,-1.2693994,LRRC26
220,ILMN_1798210,1.98E-08,8.95E-11,-1.1266304,CDK1
224,ILMN_1804953,2.06E-08,9.45E-11,-1.0254095,MTX3
225,ILMN_1671402,2.17E-08,1.01E-10,-1.736249,MYDGF
227,ILMN_1774735,2.30E-08,1.07E-10,-1.0388025,REXO2
232,ILMN_1738424,2.60E-08,1.24E-10,1.3055725,P4HA2
236,ILMN_1672161,2.84E-08,1.37E-10,-1.0805916,C6orf47
240,ILMN_1673673,2.86E-08,1.41E-10,-1.0031999,RPS6KA3
242,ILMN_1823809,2.88E-08,1.43E-10,-1.5940038,TWF2
245,ILMN_1741406,3.00E-08,1.51E-10,-1.134555,CXADR
247,ILMN_2413508,3.04E-08,1.54E-10,1.8698715,ZNF462
248,ILMN_1737972,3.06E-08,1.56E-10,-1.8297732,LTBR
249,ILMN_1789364,3.17E-08,1.62E-10,-1.1800581,PBX2
255,ILMN_1793572,3.36E-08,1.76E-10,-1.4250535,ADNP
256,ILMN_1669682,3.53E-08,1.85E-10,-1.0256229,EEF1E1
258,ILMN_1734734,3.70E-08,1.96E-10,-1.0237276,ALDH1A1
259,ILMN_1722218,3.76E-08,2.00E-10,1.6824903,CDC7
264,ILMN_2249018,4.08E-08,2.21E-10,-1.5163954,RPA3
268,ILMN_1710428,4.30E-08,2.36E-10,-1.0740693,HSPE1
269,ILMN_1679071,4.40E-08,2.43E-10,-1.4793354,AMT
274,ILMN_1787844,4.43E-08,2.49E-10,1.5590921,KLHL36
278,ILMN_1673363,4.53E-08,2.58E-10,1.9824401,CCDC50
282,ILMN_1749009,4.83E-08,2.79E-10,-1.6990154,KIF18A
283,ILMN_1795778,4.92E-08,2.85E-10,-1.2770356,UBE2C
284,ILMN_1795286,4.96E-08,2.89E-10,1.3891604,VIM
285,ILMN_1652736,4.96E-08,2.90E-10,1.2215256,FHL2
290,ILMN_1874806,5.20E-08,3.09E-10,-1.2511514,GNL3
292,ILMN_1703305,5.31E-08,3.18E-10,1.4929611,GLDC
296,ILMN_1796925,5.84E-08,3.55E-10,-1.4908156,LRRCC1
303,ILMN_1686679,6.70E-08,4.16E-10,-1.0783556,TOR3A
310,ILMN_1729831,7.67E-08,4.88E-10,-2.1585011,BOLA3
311,ILMN_1667476,7.67E-08,4.89E-10,2.0035176,CEP135
312,ILMN_1682699,7.96E-08,5.09E-10,1.1811017,RFC4
314,ILMN_2345739,8.07E-08,5.21E-10,-1.2877214,SYS1
320,ILMN_1666019,8.53E-08,5.60E-10,-1.0683106,DLGAP5
324,ILMN_1725105,9.24E-08,6.13E-10,-1.3862857,FKBP11
329,ILMN_2096372,9.92E-08,6.69E-10,-3.01929,MPDU1
337,ILMN_1741801,1.19E-07,8.21E-10,-1.2432674,ATP7B
340,ILMN_1680757,1.21E-07,8.40E-10,-1.5414929,SLFN13
349,ILMN_1716895,1.32E-07,9.46E-10,-1.3791643,PSMG1
350,ILMN_2092536,1.34E-07,9.67E-10,-1.1392954,HMMR
353,ILMN_1665331,1.39E-07,1.01E-09,-1.459477,UROD
354,ILMN_1703314,1.41E-07,1.02E-09,1.4530935,NUSAP1
355,ILMN_1872404,1.43E-07,1.04E-09,-1.6926107,CKAP2L
362,ILMN_2132161,1.56E-07,1.16E-09,-1.0437242,PTTG3P
376,ILMN_2301083,1.90E-07,1.46E-09,-2.4233709,AMMECR1
378,ILMN_2058251,1.94E-07,1.51E-09,1.0845621,ELOVL6
387,ILMN_1668411,2.05E-07,1.63E-09,-2.1640761,DCBLD2
390,ILMN_1803775,2.07E-07,1.66E-09,-1.1490039,G6PD
394,ILMN_1806106,2.10E-07,1.69E-09,-1.1553071,MNS1
397,ILMN_1809439,2.11E-07,1.72E-09,-1.4544433,IGLL1
398,ILMN_1806754,2.13E-07,1.74E-09,-1.0130625,POLE2
399,ILMN_2384807,2.17E-07,1.78E-09,-1.8161752,PKD2
401,ILMN_1768181,2.28E-07,1.88E-09,1.3139967,SDHC
404,ILMN_2343010,2.36E-07,1.96E-09,-1.2530929,CYGB
406,ILMN_1693766,2.38E-07,1.98E-09,-1.4238176,SLC16A5
408,ILMN_1724489,2.40E-07,2.01E-09,-1.3803373,SNX11
413,ILMN_1756590,2.41E-07,2.04E-09,1.143576,PFKM
421,ILMN_1749829,2.54E-07,2.19E-09,-1.9336879,YEATS4
425,ILMN_1787345,2.65E-07,2.31E-09,-1.4609339,SLC39A1
428,ILMN_1655654,2.65E-07,2.32E-09,1.1716561,NUDT11
429,ILMN_1722056,2.69E-07,2.36E-09,-1.9186998,NOP58
432,ILMN_1714730,2.74E-07,2.43E-09,-2.5556337,TOM1
437,ILMN_2215862,2.97E-07,2.66E-09,-1.181616,RFWD3
439,ILMN_1659285,2.99E-07,2.69E-09,-1.1192166,GDE1
441,ILMN_1781942,3.03E-07,2.74E-09,-2.2253394,HELLS
444,ILMN_1740742,3.15E-07,2.87E-09,-1.2171508,ARHGAP30
446,ILMN_2409298,3.20E-07,2.92E-09,-1.7922213,MAPK3
447,ILMN_2280568,3.21E-07,2.94E-09,-1.3527154,HELZ2
448,ILMN_1751776,3.21E-07,2.95E-09,-1.8987597,TYROBP
451,ILMN_2049021,3.29E-07,3.05E-09,-1.3135332,PTTG1
453,ILMN_2355831,3.31E-07,3.08E-09,-2.9528365,RANBP1
461,ILMN_1779374,3.35E-07,3.17E-09,-1.032485,RAD51AP1
466,ILMN_2111187,3.47E-07,3.32E-09,-2.0201003,TPP1
470,ILMN_2174127,3.50E-07,3.37E-09,-1.6499333,KIF20B
471,ILMN_2347949,3.53E-07,3.41E-09,1.3689703,SPDL1
473,ILMN_2157240,3.56E-07,3.45E-09,-1.4858044,CHMP3
477,ILMN_1656713,3.73E-07,3.64E-09,-2.4846555,ZNF721
482,ILMN_1774336,3.80E-07,3.75E-09,-2.0897465,APOE
484,ILMN_2075436,3.88E-07,3.85E-09,1.1694532,PRG3
490,ILMN_2409220,3.95E-07,3.96E-09,-2.0332326,GRINA
492,ILMN_2052891,3.97E-07,4.00E-09,-1.4320254,MVP
496,ILMN_1746241,4.11E-07,4.18E-09,1.0664018,PLK4
497,ILMN_1758128,4.16E-07,4.24E-09,-1.7177808,ITGA5
501,ILMN_1755649,4.32E-07,4.44E-09,1.4005325,ABTB1
502,ILMN_1683950,4.39E-07,4.52E-09,1.1050497,USP1
509,ILMN_1869160,4.54E-07,4.74E-09,-1.4832072,WRN
510,ILMN_1718934,4.62E-07,4.83E-09,-2.3967965,HCST
518,ILMN_2043809,4.84E-07,5.14E-09,-1.3611953,FAM19A2
521,ILMN_1709348,4.91E-07,5.25E-09,-3.3799176,DEPDC1B
531,ILMN_1801387,5.24E-07,5.70E-09,-1.1849657,RPL39L
532,ILMN_2116714,5.30E-07,5.78E-09,1.3844688,LAMP2
535,ILMN_2189668,5.39E-07,5.91E-09,-1.6910578,PPP3R1
536,ILMN_1748476,5.42E-07,5.96E-09,-1.2085786,COL5A1
540,ILMN_2082314,5.63E-07,6.23E-09,1.616618,ARPC1B
541,ILMN_1815840,5.68E-07,6.29E-09,-3.4283482,WEE1
543,ILMN_1687107,5.73E-07,6.38E-09,-1.1120696,FBXO5
546,ILMN_1728698,5.94E-07,6.64E-09,1.0777748,PAXBP1
548,ILMN_2202423,6.13E-07,6.88E-09,-1.4441191,CMTM8
551,ILMN_2289825,6.18E-07,6.98E-09,-2.4908826,PRC1
556,ILMN_2364529,6.30E-07,7.18E-09,-1.3387943,CCDC14
558,ILMN_1750805,6.42E-07,7.35E-09,1.0718726,P2RX4
560,ILMN_1749875,6.43E-07,7.38E-09,-1.6046834,ZMYND8
562,ILMN_2083066,6.47E-07,7.45E-09,-3.2480591,CTGF
563,ILMN_1667260,6.54E-07,7.55E-09,1.173119,LEF1
571,ILMN_1787509,6.74E-07,7.89E-09,1.9216265,HMGB3
574,ILMN_1778977,7.08E-07,8.33E-09,2.7307099,DUT
579,ILMN_1753196,7.29E-07,8.65E-09,-1.4856738,SERPINE2
582,ILMN_2109156,7.36E-07,8.78E-09,-1.1301519,HPS4
583,ILMN_1670353,7.36E-07,8.79E-09,-1.9987731,HIST2H2AA3
591,ILMN_1729234,7.65E-07,9.27E-09,1.4106907,COPG2
593,ILMN_1712452,7.73E-07,9.40E-09,-1.4154979,PLS3
601,ILMN_1900661,8.00E-07,9.86E-09,-1.2513516,CCNB2
603,ILMN_1695357,8.11E-07,1.00E-08,-1.230362,AP2B1
604,ILMN_2406043,8.22E-07,1.02E-08,1.0717275,NBPF9
605,ILMN_1805271,8.24E-07,1.02E-08,-1.7410359,TMSB15A
613,ILMN_2382431,8.46E-07,1.06E-08,-1.0190157,LRCH4
620,ILMN_1740938,8.69E-07,1.11E-08,-2.2311445,SLC11A2
627,ILMN_1659645,8.87E-07,1.14E-08,-1.1602428,ANKRD36B
638,ILMN_2370872,9.39E-07,1.23E-08,1.636416,CLC
639,ILMN_1803277,9.45E-07,1.24E-08,2.0543216,TCF4
644,ILMN_1789123,9.61E-07,1.27E-08,-1.6526662,NUP107
661,ILMN_1792679,1.06E-06,1.44E-08,1.3871223,TXNIP
662,ILMN_1802096,1.06E-06,1.44E-08,1.4519998,TAP2
664,ILMN_1657701,1.09E-06,1.49E-08,-1.4397781,ADAP1
665,ILMN_1696975,1.09E-06,1.49E-08,-1.5076253,CDCA3
673,ILMN_1679881,1.15E-06,1.58E-08,-1.3915735,TMEM14C
675,ILMN_1699931,1.16E-06,1.60E-08,1.6118457,BARD1
676,ILMN_1695430,1.16E-06,1.61E-08,-1.6090176,KIAA0226L
682,ILMN_1691876,1.22E-06,1.70E-08,-1.0443326,CASZ1
683,ILMN_1814600,1.22E-06,1.71E-08,-1.0656616,CCDC34
691,ILMN_1666746,1.24E-06,1.76E-08,-1.3325053,RPF2
698,ILMN_1712413,1.28E-06,1.83E-08,-1.8026882,VPS13A
708,ILMN_1786658,1.32E-06,1.91E-08,-1.2355697,ZWINT
712,ILMN_1673282,1.34E-06,1.95E-08,1.3238688,HNRNPA1P33
713,ILMN_1796962,1.34E-06,1.97E-08,1.0188796,HMGB2
718,ILMN_1706505,1.35E-06,1.99E-08,-2.2682924,KNTC1
732,ILMN_2085760,1.44E-06,2.16E-08,2.1664827,RIMS3
735,ILMN_1778561,1.47E-06,2.21E-08,-1.4828582,CBX1
742,ILMN_1710676,1.51E-06,2.29E-08,-1.5965579,ATP6V0B
747,ILMN_2251978,1.54E-06,2.37E-08,-1.6410465,NCAPG
752,ILMN_1710124,1.61E-06,2.49E-08,-2.335584,CDC25A
760,ILMN_1728934,1.66E-06,2.59E-08,-1.3916347,CRIP1
777,ILMN_1677239,1.76E-06,2.81E-08,-1.9650293,DNAJB2
778,ILMN_1813846,1.77E-06,2.82E-08,1.3856773,MELK
780,ILMN_2386179,1.78E-06,2.85E-08,-1.092895,TOP2A
786,ILMN_1699829,1.83E-06,2.96E-08,-2.2530134,SQSTM1
795,ILMN_2213136,1.90E-06,3.09E-08,-2.4513007,WFS1
798,ILMN_1733519,1.91E-06,3.12E-08,-1.2657352,ORAI1
800,ILMN_1732688,1.94E-06,3.18E-08,-1.4646394,FANCD2
801,ILMN_1655595,1.94E-06,3.19E-08,-3.5836315,PLSCR3
808,ILMN_1808919,1.97E-06,3.27E-08,-1.4277628,MOB3A
812,ILMN_2144426,1.98E-06,3.29E-08,2.8066833,PRTN3
815,ILMN_1809496,2.04E-06,3.42E-08,1.4083118,HNRNPA2B1
820,ILMN_1699521,2.08E-06,3.49E-08,-1.8195551,TRIT1
822,ILMN_2041788,2.10E-06,3.53E-08,-1.253369,CCL5
831,ILMN_1801939,2.19E-06,3.73E-08,-2.1033344,CENPN
833,ILMN_2108357,2.20E-06,3.76E-08,-1.9946466,MTF2
834,ILMN_1681998,2.24E-06,3.84E-08,1.1474547,PLEKHO1
835,ILMN_2115490,2.26E-06,3.86E-08,1.6976974,CCP110
837,ILMN_1679185,2.26E-06,3.88E-08,-2.1960457,CD44
850,ILMN_1681737,2.36E-06,4.10E-08,-1.3689187,KIF11
858,ILMN_2157075,2.45E-06,4.31E-08,1.3359875,NPIPA1
859,ILMN_1747911,2.45E-06,4.32E-08,-2.1784033,TIMP1
861,ILMN_1745034,2.47E-06,4.36E-08,-1.4455546,MOB3C
862,ILMN_1697559,2.47E-06,4.37E-08,1.4005561,CENPK
868,ILMN_1780806,2.55E-06,4.54E-08,-1.1735655,ZNF428
881,ILMN_1654875,2.71E-06,4.89E-08,-4.7149228,SLC16A10
888,ILMN_2115125,2.74E-06,4.99E-08,-2.1018596,TIMP2
890,ILMN_1856315,2.76E-06,5.03E-08,-2.0020257,IRF1
891,ILMN_1814194,2.76E-06,5.03E-08,-1.3908569,CCDC138
892,ILMN_1815924,2.77E-06,5.06E-08,-1.2486207,FAM131A
896,ILMN_1695435,2.77E-06,5.09E-08,3.0721885,MZB1
898,ILMN_1667932,2.77E-06,5.11E-08,-1.2375216,CD24
905,ILMN_1697448,2.83E-06,5.24E-08,1.4847719,TIMELESS
913,ILMN_1759250,2.90E-06,5.42E-08,1.0917135,CCS
914,ILMN_2047511,2.91E-06,5.45E-08,2.0915061,NAE1
919,ILMN_2331735,3.01E-06,5.66E-08,1.0931564,PTPN6
921,ILMN_1659047,3.04E-06,5.73E-08,2.650542,KIAA0101
940,ILMN_1737728,3.27E-06,6.30E-08,-1.0656985,HIST2H2AC
951,ILMN_1779264,3.32E-06,6.47E-08,-1.2207546,SLAIN1
966,ILMN_1657857,3.38E-06,6.70E-08,-1.0014136,NOP56
969,ILMN_2074258,3.41E-06,6.77E-08,-1.2880663,CORO1B
971,ILMN_2243687,3.44E-06,6.85E-08,1.3201559,CENPA
982,ILMN_2196550,3.58E-06,7.21E-08,-1.3339293,KIF15
988,ILMN_1655191,3.68E-06,7.44E-08,1.3490919,RFC3
996,ILMN_2288784,3.74E-06,7.63E-08,-1.4622888,PARPBP
1007,ILMN_1664167,3.91E-06,8.07E-08,-1.073728,CKS2
1010,ILMN_1855746,3.93E-06,8.14E-08,-1.3231411,CORO1A
1011,ILMN_2362549,3.97E-06,8.23E-08,-1.5770933,SUGP2
1024,ILMN_2125675,4.11E-06,8.64E-08,-1.2602087,TTK
1025,ILMN_1654268,4.12E-06,8.66E-08,-1.4126549,PQLC3
1036,ILMN_1732516,4.33E-06,9.20E-08,-1.6526648,SH3BGRL2
1042,ILMN_1742382,4.47E-06,9.54E-08,-1.3819604,RENBP
1043,ILMN_1770244,4.47E-06,9.55E-08,-1.0395966,RAB5C
1048,ILMN_1721391,4.59E-06,9.86E-08,1.0109856,TMEM237
1050,ILMN_1751444,4.61E-06,9.92E-08,-1.7268302,PRF1
1057,ILMN_1711005,4.70E-06,1.02E-07,-1.5982178,PNPLA6
1062,ILMN_1724017,4.80E-06,1.04E-07,-1.387679,ASB9
1064,ILMN_1656920,4.89E-06,1.07E-07,2.9216327,EPCAM
1085,ILMN_2390974,5.42E-06,1.20E-07,1.4660278,ABCC5
1094,ILMN_1731184,5.53E-06,1.24E-07,-1.3309565,CHEK1
1095,ILMN_1686097,5.56E-06,1.25E-07,-2.3842168,FOXM1
1111,ILMN_2070052,5.77E-06,1.31E-07,-1.4060571,DNTT
1114,ILMN_1662618,5.81E-06,1.33E-07,1.3131631,NCL
1122,ILMN_1759023,5.89E-06,1.35E-07,-1.3568822,HNRNPAB
1131,ILMN_1724148,6.00E-06,1.39E-07,1.1448459,ADGRL1
1132,ILMN_2235137,6.05E-06,1.41E-07,-1.1691232,NDC80
1141,ILMN_1703433,6.08E-06,1.42E-07,1.3822563,E2F5
1144,ILMN_1721344,6.13E-06,1.44E-07,1.3977097,STIL
1157,ILMN_1668460,6.33E-06,1.50E-07,-3.8622509,SLC2A10
1159,ILMN_1886493,6.34E-06,1.51E-07,-1.9272989,UPP1
1161,ILMN_1727692,6.34E-06,1.51E-07,-1.0285964,CENPU
1183,ILMN_2098126,6.60E-06,1.60E-07,2.7565247,YBEY
1184,ILMN_1686811,6.71E-06,1.63E-07,-1.1837869,SEPHS1
1185,ILMN_1720526,6.72E-06,1.63E-07,-1.4169715,TAGLN2
1196,ILMN_1733615,6.88E-06,1.69E-07,-1.0268062,ABHD8
1203,ILMN_1694213,6.91E-06,1.70E-07,1.0625126,HJURP
1204,ILMN_1773200,6.91E-06,1.71E-07,-1.3363818,ITGA2B
1213,ILMN_2348788,7.14E-06,1.78E-07,1.3814124,SPC24
1215,ILMN_2143155,7.14E-06,1.78E-07,-1.9001204,CEP83
1218,ILMN_1676986,7.18E-06,1.79E-07,-1.1754076,GAS7
1237,ILMN_1711566,7.55E-06,1.91E-07,2.2466208,ZNF83
1236,ILMN_2103685,7.55E-06,1.91E-07,-1.3292923,ENOSF1
1245,ILMN_1787648,7.84E-06,2.00E-07,-1.2893402,ZNF467
1250,ILMN_1798288,7.97E-06,2.04E-07,1.2383582,RHOG
1252,ILMN_1737195,7.98E-06,2.05E-07,-1.6803131,CFAP20
1258,ILMN_1652754,8.01E-06,2.06E-07,1.2413576,ACTA2
1254,ILMN_1782938,8.01E-06,2.06E-07,-1.1057744,HLTF
1259,ILMN_1721876,8.07E-06,2.08E-07,1.4854957,PIK3IP1
1261,ILMN_1708375,8.09E-06,2.09E-07,1.2018189,NFS1
1262,ILMN_1856634,8.09E-06,2.09E-07,-1.0085936,PLOD3
1272,ILMN_1767260,8.24E-06,2.15E-07,-1.0750547,CEP55
1289,ILMN_1729217,8.78E-06,2.32E-07,1.0518957,CYYR1
1285,ILMN_1662878,8.78E-06,2.32E-07,-1.5821405,CEP152
1297,ILMN_2060413,9.04E-06,2.40E-07,-3.234258,TMEM150A
1300,ILMN_1735093,9.10E-06,2.42E-07,-1.4868134,BUB1
1310,ILMN_2290998,9.27E-06,2.49E-07,1.5776912,PCNA
1318,ILMN_2042771,9.42E-06,2.54E-07,-1.4338614,NAAA
1328,ILMN_2415439,9.51E-06,2.59E-07,-1.1082137,EPHB4
1329,ILMN_1738675,9.54E-06,2.60E-07,1.5667363,MAP2K3
1339,ILMN_2285996,9.76E-06,2.68E-07,-2.0921541,HIST2H2BE
1340,ILMN_1768973,9.81E-06,2.70E-07,2.4203883,SQRDL
1351,ILMN_1717765,1.02E-05,2.83E-07,-1.1839547,QSOX1
1353,ILMN_1746784,1.03E-05,2.86E-07,-1.8578223,VCAM1
1367,ILMN_2044832,1.05E-05,2.94E-07,-1.0054217,TRIB2
1372,ILMN_1653708,1.07E-05,3.00E-07,1.1686445,TSPAN31
1375,ILMN_1801257,1.07E-05,3.03E-07,-1.2755527,IL27RA
1387,ILMN_1753063,1.10E-05,3.13E-07,-1.8518066,DIAPH1
1390,ILMN_1784860,1.11E-05,3.17E-07,-1.0699016,BCL11A
1393,ILMN_1727055,1.12E-05,3.20E-07,-1.2225172,TRO
1394,ILMN_2072296,1.12E-05,3.21E-07,-1.1886689,PKIA
1399,ILMN_1794539,1.13E-05,3.25E-07,-1.5684021,UBE2T
1404,ILMN_1713749,1.13E-05,3.27E-07,1.6708878,TICAM1
1415,ILMN_1652407,1.16E-05,3.37E-07,-1.1093199,TCERG1
1418,ILMN_1711270,1.16E-05,3.38E-07,-1.0233089,DNAJC9
1427,ILMN_2370365,1.18E-05,3.44E-07,-1.3019907,SF1
1434,ILMN_1654313,1.19E-05,3.49E-07,-1.0482958,CHD9
1446,ILMN_1788166,1.21E-05,3.59E-07,-1.6746897,AFF3
1448,ILMN_1814213,1.22E-05,3.63E-07,1.1951342,MKL1
1454,ILMN_1762764,1.23E-05,3.67E-07,-1.4394949,NASP
1472,ILMN_1780057,1.26E-05,3.80E-07,1.4973836,LIG1
1474,ILMN_2172318,1.26E-05,3.81E-07,-1.0357443,RBM25
1480,ILMN_1769665,1.28E-05,3.88E-07,1.1627716,SIDT2
1481,ILMN_1800958,1.28E-05,3.89E-07,-1.2151581,NEU1
1482,ILMN_1740633,1.28E-05,3.90E-07,1.4182077,SLC8A3
1487,ILMN_1799614,1.31E-05,3.99E-07,1.0459221,MPP6
1489,ILMN_1679450,1.31E-05,4.01E-07,-1.4275094,SPATA2L
1496,ILMN_1786041,1.35E-05,4.13E-07,-1.6949884,CDKN1A
1507,ILMN_2160210,1.37E-05,4.25E-07,-3.250843,GZMA
1508,ILMN_1651964,1.37E-05,4.25E-07,-1.2939728,TOP2B
1510,ILMN_1664630,1.38E-05,4.26E-07,-1.6028001,DPEP2
1544,ILMN_1721457,1.45E-05,4.59E-07,-1.1092695,PKMYT1
1547,ILMN_2344971,1.47E-05,4.66E-07,-1.223566,FAM214B
1551,ILMN_1783156,1.47E-05,4.67E-07,1.1745467,FHL3
1557,ILMN_2384001,1.50E-05,4.79E-07,-5.1168466,SNORA33
1573,ILMN_2121437,1.56E-05,5.02E-07,-1.0866622,NPIPB3
1578,ILMN_1696485,1.57E-05,5.09E-07,-1.1643536,STAT6
1584,ILMN_1813175,1.59E-05,5.18E-07,-1.2554944,RFC5
1589,ILMN_1664511,1.61E-05,5.25E-07,-1.2661015,AURKB
1590,ILMN_1811117,1.62E-05,5.28E-07,-1.5720896,HNRNPA1P10
1594,ILMN_1782551,1.63E-05,5.31E-07,-1.2252644,SPTA1
1596,ILMN_2413650,1.63E-05,5.34E-07,-1.5343438,PSIP1
1602,ILMN_2120247,1.65E-05,5.41E-07,-1.0723093,SREK1
1608,ILMN_1798256,1.65E-05,5.45E-07,2.891382,FANCG
