,ID,adj.P.Val,P.Value,logFC,Gene.symbol
5592,ILMN_2049536,0.000743,8.52E-05,1.1533116,NR1H3
5593,ILMN_1784884,0.000743,8.52E-05,3.1871073,DCANP1
5630,ILMN_1804396,0.000764,8.82E-05,1.0480945,CSF2RA
5706,ILMN_1694539,8.00E-04,9.35E-05,1.0251729,HES4
5714,ILMN_2332964,0.000808,9.46E-05,-1.4339349,H2AFJ
5718,ILMN_1750101,0.000809,9.48E-05,1.8981019,GRN
5725,ILMN_1723962,0.000812,9.52E-05,-1.2597718,HSPD1
5733,ILMN_1844464,0.000812,9.55E-05,1.5993643,ABL1
5748,ILMN_1660462,0.000822,9.69E-05,-1.4452632,DNAJA4
5757,ILMN_1776125,0.000826,9.75E-05,1.4324553,SIGLEC10
5762,ILMN_1723111,0.000829,9.80E-05,1.471883,RGS1
5777,ILMN_2077550,0.000835,9.89E-05,-1.0503315,SCD
5791,ILMN_1668814,0.000843,1.00E-04,-1.0464164,ELANE
5810,ILMN_1692754,0.000848,0.000101,1.0622636,PLD3
5807,ILMN_1721818,0.000848,0.000101,-1.8802104,LILRA5
5816,ILMN_1730773,0.000849,0.000101,-1.0642703,CD300C
5838,ILMN_2360710,0.000858,0.000103,-1.4378526,CTSB
5864,ILMN_1681503,0.000877,0.000105,-1.3780298,C1QTNF4
5866,ILMN_1653432,0.000877,0.000105,-1.0798407,TSPAN9
5879,ILMN_1806040,0.000883,0.000106,-1.550482,SIRPA
5887,ILMN_2387952,0.000888,0.000107,-1.6403605,RAVER2
5907,ILMN_2340259,0.000896,0.000109,-1.426149,PNMA3
5916,ILMN_1804277,0.000901,0.000109,-1.2190122,MIS18BP1
5941,ILMN_2337655,0.000911,0.000111,1.0639139,FAM101B
5956,ILMN_1747622,0.000916,0.000112,1.376203,ITPR3
5960,ILMN_1743032,0.000918,0.000112,1.7060242,GPR162
5957,ILMN_1757278,0.000917,0.000112,-1.0074583,PRKCD
6081,ILMN_1672004,0.000975,0.000122,1.2443146,ARMCX1
6094,ILMN_1785852,0.000987,0.000123,1.3554874,CD79A
6110,ILMN_1796712,0.000994,0.000124,2.2164738,RPP40
6148,ILMN_2392043,0.00101,0.000128,1.1252836,BIVM
6160,ILMN_2113126,0.00102,0.000129,-2.6121413,AIF1
6166,ILMN_1655913,0.00102,0.000129,-1.2879557,ITGAL
6180,ILMN_1694502,0.00104,0.000131,-1.0614699,UGT3A2
6205,ILMN_1764383,0.00106,0.000135,1.0141583,MX2
6231,ILMN_1729749,0.00107,0.000137,-1.4076504,GLIPR1
6279,ILMN_1697925,0.00111,0.000143,1.1323109,SLF2
6305,ILMN_1732967,0.00112,0.000145,1.0959808,SLC40A1
6335,ILMN_1792689,0.00114,0.000148,1.5630129,TMEM51
6350,ILMN_2368318,0.00115,0.000149,2.4994907,ZMAT3
6400,ILMN_1656287,0.00118,0.000154,1.3277139,POC1A
